<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20200825;000000;6254.0000000;6560.0000000;6190.0000000;6549.0000000;7708
20200826;000000;6550.0000000;6676.0000000;6460.0000000;6517.0000000;3635
20200827;000000;6493.0000000;6533.0000000;6234.0000000;6314.0000000;2214
20200828;000000;6250.0000000;6438.0000000;6208.0000000;6277.0000000;2996
20200831;000000;6198.0000000;6889.0000000;6190.0000000;6680.0000000;5407
20200901;000000;6755.0000000;6899.0000000;6658.0000000;6807.0000000;4133
20200902;000000;6888.0000000;7137.0000000;6710.0000000;6830.0000000;8965
20200903;000000;6816.0000000;6880.0000000;6158.0000000;6251.0000000;24345
20200904;000000;6250.0000000;6345.0000000;5770.0000000;6198.0000000;11675
20200908;000000;6262.0000000;6263.0000000;5920.0000000;6015.0000000;11734
20200909;000000;5978.0000000;6217.0000000;5978.0000000;6141.0000000;6427
20200910;000000;6250.0000000;6257.0000000;5917.0000000;5950.0000000;7378
20200911;000000;6047.0000000;6047.0000000;5643.0000000;5764.0000000;7968
20200914;000000;5800.0000000;5917.0000000;5747.0000000;5851.0000000;31148
20200915;000000;5887.0000000;6020.0000000;5713.0000000;5925.0000000;13036
20200916;000000;5919.0000000;5974.0000000;5756.0000000;5785.0000000;4031
20200917;000000;5800.0000000;5800.0000000;5565.0000000;5755.0000000;6388
20200918;000000;5747.0000000;5840.0000000;5599.0000000;5685.0000000;3295
20200921;000000;5623.0000000;5951.0000000;5566.0000000;5925.0000000;14198
20200922;000000;5950.0000000;5987.0000000;5746.0000000;5915.0000000;4748
20200923;000000;5875.0000000;5980.0000000;5740.0000000;5777.0000000;3978
20200924;000000;5721.0000000;5952.0000000;5694.0000000;5831.0000000;4638
20200925;000000;5832.0000000;6109.0000000;5807.0000000;6095.0000000;3051
20200928;000000;6095.0000000;6300.0000000;6095.0000000;6300.0000000;5134
20200929;000000;6300.0000000;6514.0000000;6228.0000000;6387.0000000;5614
20200930;000000;6392.0000000;6430.0000000;6292.0000000;6356.0000000;3121
20201001;000000;6365.0000000;6587.0000000;6365.0000000;6500.0000000;3308
20201002;000000;6446.0000000;6627.0000000;6400.0000000;6407.0000000;2645
20201005;000000;6456.0000000;6743.0000000;6430.0000000;6743.0000000;2268
20201006;000000;6743.0000000;6810.0000000;6569.0000000;6611.0000000;5913
20201007;000000;6985.0000000;6985.0000000;6654.0000000;6775.0000000;2239
20201008;000000;6811.0000000;6860.0000000;6650.0000000;6727.0000000;6367
20201009;000000;6730.0000000;6735.0000000;6301.0000000;6377.0000000;20785
20201013;000000;6598.0000000;6630.0000000;6478.0000000;6570.0000000;7084
20201014;000000;6620.0000000;6687.0000000;6489.0000000;6527.0000000;4319
20201015;000000;6469.0000000;6615.0000000;6358.0000000;6478.0000000;3378
20201016;000000;6478.0000000;6550.0000000;6421.0000000;6475.0000000;2717
20201019;000000;6604.0000000;6604.0000000;6350.0000000;6393.0000000;3925
20201020;000000;6400.0000000;6446.0000000;6265.0000000;6312.0000000;1364
20201021;000000;6380.0000000;6388.0000000;6087.0000000;6116.0000000;3460
20201022;000000;6062.0000000;6276.0000000;6020.0000000;6210.0000000;3784
20201023;000000;6149.0000000;6250.0000000;6060.0000000;6239.0000000;4433
20201026;000000;6328.0000000;6464.0000000;6194.0000000;6292.0000000;3412
20201027;000000;6292.0000000;6480.0000000;5853.0000000;6114.0000000;14389
20201028;000000;6158.0000000;6227.0000000;5981.0000000;6065.0000000;7189
20201029;000000;6189.0000000;6240.0000000;6048.0000000;6131.0000000;5591
20201030;000000;6128.0000000;6132.0000000;5904.0000000;5978.0000000;3611
20201102;000000;6015.0000000;6138.0000000;5955.0000000;5983.0000000;5179
20201103;000000;6020.0000000;6093.0000000;5944.0000000;6085.0000000;2639
20201105;000000;6400.0000000;6550.0000000;6311.0000000;6356.0000000;9048
20201106;000000;6356.0000000;6660.0000000;6356.0000000;6660.0000000;6144
20201109;000000;6665.0000000;6850.0000000;6300.0000000;6410.0000000;10157
20201110;000000;6410.0000000;6472.0000000;5957.0000000;5993.0000000;11592
20201111;000000;5993.0000000;6279.0000000;5958.0000000;6268.0000000;8032
20201112;000000;6268.0000000;6375.0000000;6216.0000000;6313.0000000;4632
20201113;000000;6390.0000000;6441.0000000;6251.0000000;6284.0000000;3957
20201116;000000;6287.0000000;6380.0000000;6170.0000000;6356.0000000;3115
20201117;000000;6372.0000000;6468.0000000;6337.0000000;6350.0000000;2432
20201118;000000;6300.0000000;6365.0000000;6192.0000000;6295.0000000;4461
20201119;000000;6244.0000000;6511.0000000;6243.0000000;6475.0000000;4075
20201120;000000;6440.0000000;6550.0000000;6438.0000000;6472.0000000;1693
20201123;000000;6478.0000000;6657.0000000;6426.0000000;6483.0000000;1600
20201124;000000;6503.0000000;6536.0000000;6335.0000000;6427.0000000;2303
20201125;000000;6443.0000000;6655.0000000;6405.0000000;6561.0000000;2255
